gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,NumPremiumServices,AutoPayment,PaperLessAuto,ServiceBundle,SpendToTenureRatio,ValueRetentionScore,SeniorWithDependents,PartnerNoDependents,HighValueNew,ContracEndingRisk,SpendvsPeer,PricePerService,ServiceUtilizationRate,RiskFactorCount,TenureGroup_SpendInteraction,ContractRiskScore,SpendIncreaseRecently,CustomerSegment,Churn
0,0.0,1,0,1.0,0,1,0,0,2,0,0,0,0,0,2,29.85,29.85,1.0,0.0,0.0,1,29.85,0.9675851,0.0,1.0,0.0,0.0,0.71023077,29.85,0.16666667,4.0,0.2985,3.0,0.0,3,0
1,0.0,0,0,34.0,1,0,0,2,0,2,0,0,0,1,3,56.95,1889.5,2.0,0.0,0.0,0,1.675,32.605694,0.0,0.0,0.0,0.0,0.88423586,28.475,0.33333334,0.0,19.363,0.0,1.0,3,0
1,0.0,0,0,2.0,1,0,0,2,2,0,0,0,0,0,3,53.85,108.15,2.0,0.0,0.0,0,26.925,1.9717411,0.0,0.0,0.0,0.0,0.8361036,26.925,0.33333334,3.0,1.077,3.0,0.0,3,1
1,0.0,0,0,45.0,0,1,0,2,0,2,2,0,0,1,0,42.3,1840.75,3.0,1.0,0.0,1,0.94,42.511547,0.0,0.0,0.0,0.0,1.0064577,14.1,0.5,0.0,19.035,0.0,1.0,3,0
0,0.0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,2,70.7,151.65,0.0,0.0,0.0,2,35.35,2.1150627,0.0,0.0,0.0,0.0,0.7726765,70.7,0.0,5.0,1.414,3.0,0.0,0,1
0,0.0,0,0,8.0,1,2,1,0,0,2,0,2,2,0,2,99.65,820.5,3.0,0.0,0.0,2,12.45625,8.152012,0.0,0.0,0.0,0.0,1.0890695,33.216667,0.5,4.0,7.972,3.0,0.0,0,1
1,0.0,0,1,22.0,1,2,1,0,2,0,0,2,0,0,1,89.1,1949.4,2.0,1.0,1.0,2,4.05,21.63596,0.0,0.0,0.0,0.0,0.9737691,44.55,0.33333334,2.0,19.602,3.0,1.0,3,0
0,0.0,0,0,10.0,0,1,0,2,0,0,0,0,0,0,3,29.75,301.9,1.0,0.0,0.0,1,2.975,9.817886,0.0,0.0,0.0,0.0,0.70785147,29.75,0.16666667,2.0,2.975,2.0,0.0,3,0
0,0.0,1,0,28.0,1,2,1,0,0,2,2,2,2,0,2,104.8,3046.05,4.0,0.0,0.0,2,3.7428572,28.790642,0.0,1.0,0.0,0.0,1.1453536,26.2,0.6666667,3.0,29.344,3.0,0.0,3,1
1,0.0,0,1,62.0,1,0,0,2,2,0,0,0,0,1,0,56.15,3487.95,2.0,1.0,0.0,0,0.90564513,61.031498,0.0,0.0,0.0,0.0,0.8718146,28.075,0.33333334,0.0,34.813,0.0,0.0,3,0
1,0.0,1,1,13.0,1,0,0,2,0,0,0,0,0,0,3,49.95,587.45,1.0,0.0,0.0,0,3.8423078,11.529931,0.0,0.0,0.0,0.0,0.7755501,49.95,0.16666667,2.0,6.4935,3.0,1.0,3,0
1,0.0,0,0,16.0,1,0,2,1,1,1,1,1,1,2,1,18.95,326.8,0.0,1.0,0.0,3,1.184375,16.380953,0.0,0.0,0.0,0.0,0.89899075,18.95,0.0,1.0,3.032,0.0,0.0,3,0
1,0.0,1,0,58.0,1,2,1,0,0,2,0,2,2,1,1,100.35,5681.1,3.0,1.0,0.0,2,1.7301724,56.054268,0.0,1.0,0.0,0.0,1.0967197,33.45,0.5,0.0,58.203,0.0,1.0,3,0
1,0.0,0,0,49.0,1,2,1,0,2,2,0,2,2,0,0,103.7,5036.3,4.0,1.0,1.0,2,2.1163266,48.102196,0.0,0.0,0.0,0.0,1.1333318,25.925,0.6666667,2.0,50.813,3.0,1.0,3,1
1,0.0,0,0,25.0,1,0,1,2,0,2,2,2,2,0,2,105.5,2686.05,5.0,0.0,0.0,2,4.22,25.221127,0.0,0.0,0.0,0.0,1.1530038,21.1,0.8333333,3.0,26.375,3.0,0.0,3,0
